Pro_name,Product_name,Product_no,Product_url
Enzyme - IMAP Assays,IMAP FR PDE Evaluation Kit,#R8175,https://www.moleculardevices.com/products/assay-kits/enzyme/imap-assays
Enzyme - IMAP Assays,IMAP TR-FRET PDE Evaluation Kit (with cAMP and cGMP substrates),#R8176,https://www.moleculardevices.com/products/assay-kits/enzyme/imap-assays
Western Blot Cartridge,"<td class=""rteleft""><strong>Product Name</strong></td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft""><strong>Description</strong></td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft""><strong>System</strong><br>
			ScanLater Western <br>
			Blot Detection System</td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft"">
<ul><li>Membrane sample holder</li>
<li>SoftMax Pro Software 6.3.1</li>
<li>Image plug-in for data analysis</li>
</ul></td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft""><strong>Assay Kit</strong><br>
			ScanLater: Eu-Streptavidin<br>
			Evaluation Kit</td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft"">
<ul><li>Europium-labeled streptavidin (20 μg)</li>
<li>Blocking buffer (40 mL)</li>
<li>Wash buffer (100 mL)</li>
<li>For 10 mini gels with recommended protocol</li>
</ul></td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft""><strong>Assay Kit</strong><br>
			ScanLater: Eu-Streptavidin<br>
			Bulk Kit</td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft"">
<ul><li>Europium-labeled streptavidin (60 μg)</li>
<li>Blocking buffer (120 mL)</li>
<li>Wash buffer (300 mL)</li>
<li>For 30 mini gels with recommended protocol</li>
</ul></td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft""><strong>Assay Kit</strong><br>
			ScanLater: Anti-Mouse<br>
			Evaluation Kit</td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft"">
<ul><li>Europium-labeled goat anti-mouse antibody (20 μg)</li>
<li>Blocking buffer (40 mL)</li>
<li>Wash buffer (100 mL)</li>
<li>For 10 mini gels with recommended protocol</li>
</ul></td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
Western Blot Cartridge,"<td class=""rteleft""><strong>Assay Kit</strong><br>
			ScanLater: Anti-Mouse<br>
			Bulk Kit</td>",			,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/western-blot-cartridge
,,,https://www.moleculardevices.com/products/axon-patch-clamp-system
CatchPoint cAMP Fluorescent Assay Kit,Explorer Kit (96-Wells),#R8088,https://www.moleculardevices.com/products/assay-kits/gpcrs/catchpoint-camp-fluorescent-assay-kit
CatchPoint cAMP Fluorescent Assay Kit,Bulk Kit (96-Wells),#R8089,https://www.moleculardevices.com/products/assay-kits/gpcrs/catchpoint-camp-fluorescent-assay-kit
CatchPoint cAMP Fluorescent Assay Kit,Explorer Kit (384-Wells),#R8044,https://www.moleculardevices.com/products/assay-kits/gpcrs/catchpoint-camp-fluorescent-assay-kit
Bioassay QTrays,QTray with cover - polystyrene,#X6023,https://www.moleculardevices.com/products/clone-screening/accessories-consumables/bioassay-qtrays
Bioassay QTrays,QTray with cover & 48-well divider - polystyrene,#X6029,https://www.moleculardevices.com/products/clone-screening/accessories-consumables/bioassay-qtrays
Bioassay QTrays,"48-Well Dividers for QTray, polystyrene",#X6026,https://www.moleculardevices.com/products/clone-screening/accessories-consumables/bioassay-qtrays
Bioassay QTrays,Glass Plating Beads,#X5200,https://www.moleculardevices.com/products/clone-screening/accessories-consumables/bioassay-qtrays
,,,https://www.moleculardevices.com/products/cellular-imaging
Neurotransmitter Transporter Uptake Assay Kit,Evaluation Kit,#R6138,https://www.moleculardevices.com/products/assay-kits/transporters/neurotransmitter-transporter-uptake
Neurotransmitter Transporter Uptake Assay Kit,Explorer Kit,#R8173,https://www.moleculardevices.com/products/assay-kits/transporters/neurotransmitter-transporter-uptake
Neurotransmitter Transporter Uptake Assay Kit,Bulk Kit,#R8174,https://www.moleculardevices.com/products/assay-kits/transporters/neurotransmitter-transporter-uptake
,,,https://www.moleculardevices.com/products/additional-products/genepix-microarray-systems-scanners
